"Rank","Root Domain","Linking Root Domains","Domain Authority"
"365","bp3.blogger.com","515,435","93"
"366","soratemplates.com","165,061","93"
"367","yahoo.co.jp","609,135","93"
"368","box.com","224,708","93"
"369","worldbank.org","193,005","93"
"370","loc.gov","340,587","93"
"371","goodreads.com","620,993","93"
"372","utexas.edu","226,734","93"
"373","gmail.com","176,152","93"
"374","disqus.com","917,447","93"
"375","zendesk.com","399,147","93"
"376","news.com.au","247,965","93"
"377","xinhuanet.com","597,324","93"
"378","thetimes.co.uk","288,793","93"
"379","www.nhs.uk","155,782","92"
"380","oreilly.com","206,522","92"
"381","nicovideo.jp","134,740","92"
"382","imgur.com","1,105,606","92"
"383","wisc.edu","240,610","92"
"384","calameo.com","144,832","92"
"385","lifehacker.com","200,692","92"
"386","viagens.com.br","124,521","92"
"387","ap.org","176,812","92"
"388","offset.com","589,815","92"
"389","scoop.it","312,632","92"
"390","newyorker.com","307,460","92"
"391","thefreedictionary.com","185,911","92"
"392","ftc.gov","205,445","92"
"393","evernote.com","249,448","92"
"394","sina.com.cn","1,079,954","92"
"395","digitaltrends.com","151,418","92"
"396","giphy.com","304,341","92"
"397","ebay.co.uk","207,459","92"
"398","adweek.com","157,631","92"
"399","csmonitor.com","166,698","92"
"400","megaupload.com","244,014","92"
"401","corriere.it","134,768","92"
"402","axs.com","224,534","92"
"403","steamcommunity.com","172,998","92"
"404","about.me","268,964","92"
"405","last.fm","338,065","92"
"406","liveinternet.ru","263,581","92"
"407","seattletimes.com","178,364","92"
"408","uspto.gov","128,353","92"
"409","kinja.com","179,554","92"
"410","greenpeace.org","145,582","92"
"411","e-monsite.com","137,074","92"
"412","ameblo.jp","700,299","92"
"413","ndtv.com","142,786","92"
"414","state.gov","252,726","92"
"415","redhat.com","167,623","92"
"416","clickbank.net","430,612","92"
"417","example.com","275,670","92"
"418","livescience.com","203,783","92"
"419","ustream.tv","252,727","92"
"420","www.canalblog.com","385,473","92"
"421","amzn.to","647,819","92"
"422","standard.co.uk","136,673","92"
"423","upenn.edu","254,260","92"
"424","one.com","361,728","92"
"425","fda.gov","259,045","92"
"426","ehow.com","228,318","92"
"427","thedailybeast.com","197,342","92"
"428","cocolog-nifty.com","179,639","92"
"429","google.com.au","182,460","92"
"430","eonline.com","170,283","92"
"431","politico.com","192,430","92"
"432","dreamstime.com","121,493","92"
"433","airbnb.com","156,420","92"
"434","entrepreneur.com","206,794","92"
"435","quantcast.com","310,268","92"
"436","groups.yahoo.com","309,140","92"
"437","pastebin.com","165,130","92"
"438","arstechnica.com","206,941","92"
"439","behance.net","633,360","92"
"440","vkontakte.ru","389,725","92"
"441","khanacademy.org","129,625","92"
"442","plos.org","206,971","92"
"443","geocities.jp","250,400","92"
"444","xing.com","392,790","92"
"445","mlb.com","198,453","92"
"446","foursquare.com","231,949","92"
"447","epa.gov","267,820","92"
"448","nifty.com","216,195","92"
"449","chinadaily.com.cn","252,706","92"
"450","repubblica.it","164,467","92"
"451","asahi.com","155,341","92"
"452","apachefriends.org","202,633","92"
"453","merriam-webster.com","221,823","92"
"454","businesswire.com","216,954","92"
"455","house.gov","223,670","92"
"456","autodesk.com","120,368","92"
"457","icann.org","330,734","92"
"458","calendar.google.com","140,866","92"
"459","skype.com","331,387","92"
"460","fortune.com","208,131","92"
"461","mercurynews.com","153,755","92"
"462","ieee.org","176,840","92"
"463","boston.com","276,242","92"
"464","ssl-images-amazon.com","138,164","92"
"465","afternic.com","827,101","92"
"466","usgs.gov","190,410","92"
"467","nbcnews.com","286,532","92"
"468","bloglovin.com","429,466","92"
"469","pixnet.net","149,112","92"
"470","stores.jp","401,631","92"
"471","pcmag.com","178,446","92"
"472","amazon.ca","170,140","92"
"473","cmu.edu","195,576","92"
"474","nba.com","173,437","92"
"475","wattpad.com","176,395","92"
"476","debian.org","307,982","92"
"477","springer.com","319,661","92"
"478","teamviewer.com","141,331","92"
"479","mayoclinic.org","252,242","92"
"480","disney.go.com","161,868","92"
"481","nikkei.com","153,608","92"
"482","fifa.com","139,695","92"
"483","archives.gov","209,547","92"
"484","mail.yahoo.com","167,116","92"
"485","usa.gov","160,634","92"
"486","prezi.com","208,611","92"
"487","fool.com","122,891","92"
